,given_name,surname,gender,birthdate,country_of_birth,current_country,phone_number,postcode,national_insurance_number,bank_account_number,cc_status,blood_group,avg_n_drinks_per_week,avg_n_cigret_per_week,education_level,n_countries_visited,bmi,birth_year,age,age_groups,smoking_status,level of drinking_status,level of bmi,countries_visited,continent_of_birth,NI_enc,hash,postcode_split
542,Laura,Hammond,F,1960-03-06,Venezuela,United Kingdom,+447700 900 837,S7 0ZR,ZZ 89 55 34 T,19157025,0,O+,4.2,444.0,bachelor,50,11.6,1960,63,60-70,heavy smokers,moderate,underweight,35-50,South America,b'ZZ 89 55 34 T',24a6d753dae16464c869e187ccb6f9e657ced06e,S7
543,Pamela,Rees,F,1981-12-31,Sierra Leone,United Kingdom,+447700 900294,CT80 4FR,ZZ 37 91 09 T,49298857,0,A+,8.8,70.4,secondary,33,24.6,1981,41,40-50,intermediate smokers,high,healthy,19-34,Africa,b'ZZ 37 91 09 T',37de255661f8da3162960450acd2e0967c3416a4,CT80
544,Jake,Wood,M,1968-11-13,Anguilla,United Kingdom,+447700 900897,N9F 1SU,ZZ976926T,116064040,0,O+,8.2,141.1,secondary,23,47.47,1968,54,50-60,intermediate smokers,high,overweight,19-34,North America,b'ZZ976926T',6fe5277ec2f6268bcac4c8b22602a84c918e7ba8,N9F
545,Timothy,George,M,1977-01-01,Gabon,United Kingdom,(07700)900953,G49 1DR,ZZ 74 08 50 T,80055046,0,O+,8.8,333.4,secondary,44,16.89,1977,46,40-50,heavy smokers,high,underweight,35-50,Africa,b'ZZ 74 08 50 T',ad5febb7d6105573e77072a012233c20900a6ea6,G49
546,Gary,Walker,M,1973-06-12,Sweden,United Kingdom,07700 900445,IM7E 3FY,ZZ 403464 T,120537178,0,A+,5.3,101.1,phD,11,11.15,1973,50,40-50,intermediate smokers,moderate,underweight,2-18,Europe,b'ZZ 403464 T',0743534eee25bc1ecd8514da7e6efc4ed1dfb2de,IM7E
547,Helen,Duffy,F,1994-10-23,Ghana,United Kingdom,07700900150,PE0 0HH,ZZ 21 90 99 T,80816777,0,A-,9.6,262.0,secondary,10,29.63,1994,28,20-30,heavy smokers,high,overweight,2-18,Africa,b'ZZ 21 90 99 T',9ee9569e8b731a23efa8ebf8d1d92ff7e1399886,PE0
548,Patricia,Matthews,F,1985-12-29,Poland,United Kingdom,07700 900 875,LA8 9QZ,ZZ739314T,50515781,0,A+,5.0,23.6,secondary,37,20.6,1985,37,30-40,light smokers,moderate,healthy,35-50,Europe,b'ZZ739314T',0f2ae30a3e2e0d133693b79078ae467759e71565,LA8
549,Tracy,Humphries,F,1971-06-24,Singapore,United Kingdom,+447700900062,HU8 3WX,ZZ 39 39 22 T,32836860,0,O+,4.4,180.7,other,34,41.95,1971,51,50-60,heavy smokers,moderate,overweight,19-34,Asia,b'ZZ 39 39 22 T',9c144824c4e2cbeb22a76273d6cf71066cc785a9,HU8
550,Marcus,Arnold,M,1972-07-27,Bahamas,United Kingdom,+447700 900251,CF89 9ZP,ZZ 383100 T,114651002,0,A+,1.7,81.2,primary,39,12.04,1972,50,40-50,intermediate smokers,low,underweight,35-50,North America,b'ZZ 383100 T',cc4fb9d7211f942cff82e0bf58fe43789b2a4974,CF89
551,Helen,Lee,F,1973-07-23,Guatemala,United Kingdom,+447700900954,E3 4YW,ZZ 68 21 40 T,111392076,0,O+,1.2,14.8,secondary,27,20.66,1973,49,40-50,light smokers,low,healthy,19-34,North America,b'ZZ 68 21 40 T',7d8e9994138f243e65a19d070fe4d7386b6d34f7,E3
552,Joshua,Cook,M,1979-09-05,Portugal,United Kingdom,(07700)900061,NW6 6EW,ZZ 555568 T,113267772,0,O-,9.1,138.2,secondary,46,28.83,1979,44,40-50,intermediate smokers,high,overweight,35-50,Europe,b'ZZ 555568 T',9a1c5eaa60dd0abe48dbef0f0983030bf2b8f9da,NW6
553,Mandy,Baker,F,1999-06-02,Serbia,United Kingdom,(07700)900902,G80 5YS,ZZ 34 54 27 T,94521414,0,O+,2.3,409.6,secondary,36,22.88,1999,24,20-30,heavy smokers,low,healthy,35-50,Europe,b'ZZ 34 54 27 T',1ebafdadbd591d0aee213e41f7ad85b271451438,G80
554,Andrew,Browne,M,1994-08-26,Saint Vincent and the Grenadines,United Kingdom,+447700900200,DE0Y 0TQ,ZZ 04 46 02 T,106419414,0,A+,2.2,117.7,secondary,35,17.75,1994,28,20-30,intermediate smokers,low,underweight,35-50,North America,b'ZZ 04 46 02 T',23b12c6e6acf80712e27fde214ad19c1058cf369,DE0Y
555,Donald,Watkins,M,1967-04-17,Spain,United Kingdom,(07700) 900 747,RH7B 2PY,ZZ 635507 T,48401043,0,O-,3.7,148.8,secondary,19,17.77,1967,55,50-60,intermediate smokers,low,underweight,19-34,Europe,b'ZZ 635507 T',1421f15c3a64beaad958b946f2afd549a0f7cce1,RH7B
556,Luke,Lee,M,1975-06-24,Mali,United Kingdom,+447700 900 618,B0S 0RX,ZZ 93 01 97 T,46544805,0,A+,2.9,423.2,masters,30,19.05,1975,47,40-50,heavy smokers,low,healthy,19-34,Africa,b'ZZ 93 01 97 T',3ccba4ffdc3328e00793145f3dbb1344ec711e92,B0S
557,Donald,Gardner,M,1962-03-03,San Marino,United Kingdom,(07700) 900 982,CM7 1WD,ZZ 541224 T,48906810,0,A-,5.1,444.0,bachelor,28,21.71,1962,61,60-70,heavy smokers,moderate,healthy,19-34,Europe,b'ZZ 541224 T',c66f5c4327329bcc29adf798b4ce7723a66a035e,CM7
558,Owen,Patel,M,1999-06-17,Cambodia,United Kingdom,07700900598,KT5 2TH,ZZ 42 22 03 T,48117780,0,A+,0.3,180.2,bachelor,35,15.35,1999,23,20-30,heavy smokers,low,underweight,35-50,Asia,b'ZZ 42 22 03 T',29e4641dbb8c0886cce95d3a79dc7545f22661b7,KT5
559,Sian,Carter,F,1995-03-01,Palau,United Kingdom,07700 900966,G2D 8HA,ZZ 977659 T,71380513,0,A+,5.7,318.3,secondary,29,26.22,1995,28,20-30,heavy smokers,moderate,overweight,19-34,Oceania,b'ZZ 977659 T',b72ed8416170b92fd657084a00959b6fe78b5a84,G2D
560,Adam,Stanley,M,1980-04-14,Taiwan,United Kingdom,(07700) 900215,S3 2QL,ZZ 999928 T,33033837,0,A+,9.1,299.0,secondary,5,20.96,1980,42,40-50,heavy smokers,high,healthy,2-18,Asia,b'ZZ 999928 T',1bd201f67794ac3509c350f8c5dd9125302613a8,S3
561,Beverley,Macdonald,F,1982-10-08,Ireland,United Kingdom,07700 900 918,M4 2TN,ZZ 701219 T,41001039,0,O+,4.0,351.2,bachelor,29,29.62,1982,41,40-50,heavy smokers,moderate,overweight,19-34,Europe,b'ZZ 701219 T',7ab3aecc2301c557aff21b0bbb1f807fdfe0e00b,M4
562,Gemma,Price,F,1960-10-03,Kenya,United Kingdom,(07700) 900142,N60 5HX,ZZ874312T,111448674,0,O-,5.2,195.9,secondary,9,29.08,1960,63,60-70,heavy smokers,moderate,overweight,2-18,Africa,b'ZZ874312T',33618b20aa1fa70cd1557e147cf42149b6fa22f0,N60
563,Glen,Jones,M,1976-04-18,Hungary,United Kingdom,+447700900958,E3H 6WZ,ZZ484304T,45574397,0,A+,1.4,279.6,phD,22,20.68,1976,46,40-50,heavy smokers,low,healthy,19-34,Europe,b'ZZ484304T',a302c09bd153cd78f1c4a5361f129471e2da4b28,E3H
564,Nathan,Richardson,M,1967-11-03,Italy,United Kingdom,+447700900401,WR8A 5SH,ZZ 62 92 83 T,58676318,0,A+,10.0,341.1,secondary,40,40.54,1967,56,50-60,heavy smokers,,overweight,35-50,Europe,b'ZZ 62 92 83 T',35a83735ed99cabcbf639c2d62b2152fd8466a77,WR8A
565,Jessica,Nelson,F,1977-07-21,Myanmar,United Kingdom,(07700)900076,M9D 9ZG,ZZ 99 58 21 T,125885663,0,O+,7.1,499.2,secondary,2,33.33,1977,45,40-50,heavy smokers,high,overweight,2-18,Asia,b'ZZ 99 58 21 T',6877920be28d2312b253dd7b4fa8b7fc32af91bb,M9D
566,Francesca,Stewart,F,1980-07-08,Anguilla,United Kingdom,07700 900174,W98 8NW,ZZ 361993 T,80315540,0,B+,3.6,385.2,secondary,32,23.35,1980,43,40-50,heavy smokers,low,healthy,19-34,North America,b'ZZ 361993 T',11adce44fc19565b7c0c8465877405fd82c649d3,W98
567,Leah,Thomson,F,1977-11-10,Cook Islands,United Kingdom,+447700 900213,NP3R 3GX,ZZ132713T,115480201,0,O+,5.7,473.1,secondary,15,14.82,1977,46,40-50,heavy smokers,moderate,underweight,2-18,Oceania,b'ZZ132713T',ccb9de05f205c3e1a7d5d4a9731b2522f678230a,NP3R
568,Katie,Ford,F,1997-05-08,Azerbaijan,United Kingdom,(07700) 900 576,LU4E 7TU,ZZ 348898 T,112932419,0,B+,2.8,27.8,secondary,4,27.25,1997,26,20-30,light smokers,low,overweight,2-18,Asia,b'ZZ 348898 T',e30ef6a3e8bb696458158871e405ae9da506a450,LU4E
569,Charlie,Ingram,M,1988-01-20,Jordan,United Kingdom,+44(0)7700 900 981,FY92 0AL,ZZ 524979 T,125588698,0,A+,8.4,30.0,masters,47,34.47,1988,34,30-40,light smokers,high,overweight,35-50,Asia,b'ZZ 524979 T',e6d3d86ad8f629ee41725818949c82143f53a29c,FY92
570,Marc,Barlow,M,1968-01-16,Romania,United Kingdom,07700900318,M3B 7AN,ZZ 07 81 26 T,59375964,0,O+,2.8,0.7,secondary,45,18.22,1968,54,50-60,light smokers,low,underweight,35-50,Europe,b'ZZ 07 81 26 T',68e0a66aeb7a4906bc4aa420c54ce10471af7f55,M3B
571,Denise,Buckley,F,1958-10-19,Algeria,United Kingdom,(07700)900124,M0 6AD,ZZ843341T,25680531,0,A+,9.7,193.5,secondary,25,45.08,1958,64,60-70,heavy smokers,high,overweight,19-34,Africa,b'ZZ843341T',84613c42fbfb8d656f5af1228c8edfdfec94b4c5,M0
572,Gareth,King,M,1956-04-29,Kyrgyz Republic,United Kingdom,+44(0)7700 900 521,BB6V 4AQ,ZZ997214T,108287408,0,O+,3.3,66.2,other,14,30.54,1956,66,60-70,intermediate smokers,low,overweight,2-18,Asia,b'ZZ997214T',9f0769a12e27e22cbe4cbc638e3e8f8d4557f145,BB6V
573,William,Moore,M,1985-03-04,Namibia,United Kingdom,+44(0)7700 900690,RH51 8HX,ZZ 526730 T,84734428,0,A+,8.1,29.9,secondary,7,20.59,1985,38,30-40,light smokers,high,healthy,2-18,Africa,b'ZZ 526730 T',e623df89dd0783e5f31509a5d944d3b7f81d146a,RH51
574,Margaret,Walsh,F,1994-07-30,Central African Republic,United Kingdom,(07700)900934,W9 5YB,ZZ 882683 T,89635593,0,O+,2.7,368.9,primary,47,23.14,1994,28,20-30,heavy smokers,low,healthy,35-50,Africa,b'ZZ 882683 T',86a971c4d38533b0b50165a7d12ea526554fd5f5,W9
575,Jacob,Fox,M,1993-02-21,Tunisia,United Kingdom,+44(0)7700 900 365,G2 6UJ,ZZ 96 19 74 T,31756556,0,O+,1.4,144.6,bachelor,43,17.64,1993,29,20-30,intermediate smokers,low,underweight,35-50,Africa,b'ZZ 96 19 74 T',6dcb271e48c798646c979ecf14fdfa210ea5c295,G2
576,Jane,Johnson,F,1991-08-26,Malta,United Kingdom,+447700900770,B2 6LN,ZZ 47 77 65 T,105582614,0,O-,0.0,242.2,masters,12,18.96,1991,31,30-40,heavy smokers,low,healthy,2-18,Europe,b'ZZ 47 77 65 T',9347e4aabd76e501a8a50c690f64411b4e1145d1,B2
577,Mohamed,Lowe,M,1977-06-27,Lesotho,United Kingdom,07700 900131,SY4 9HS,ZZ 96 80 35 T,30168051,0,O-,7.5,4.3,bachelor,13,13.93,1977,45,40-50,light smokers,high,underweight,2-18,Africa,b'ZZ 96 80 35 T',a7fe86ab41077d4076056126153ae324058b521b,SY4
578,Simon,Fox,M,1996-10-21,Cayman Islands,United Kingdom,07700 900498,AL89 2AH,ZZ152530T,106611694,0,A+,9.3,119.6,masters,3,25.89,1996,26,20-30,intermediate smokers,high,overweight,2-18,North America,b'ZZ152530T',2d11c304ca5fadedee6fb014ad0c138ec9091870,AL89
579,Arthur,West,M,1963-03-28,Bahamas,United Kingdom,+447700900987,TD1N 6ZL,ZZ 900269 T,47295441,0,B+,4.4,62.7,secondary,46,21.82,1963,59,50-60,intermediate smokers,moderate,healthy,35-50,North America,b'ZZ 900269 T',84ba5f3b3de4d110bc7702659343d2a3cbd529c8,TD1N
580,Denis,Taylor,M,1956-12-24,Belarus,United Kingdom,(07700) 900 981,BN51 4PT,ZZ 084958 T,65192241,0,O+,8.9,208.7,secondary,24,39.38,1956,66,60-70,heavy smokers,high,overweight,19-34,Europe,b'ZZ 084958 T',6d5301696dcdec0e76c0bbbcceb1f888e39befe8,BN51
581,Sally,Watson,F,1984-07-05,Australia,United Kingdom,(07700)900176,N83 6HG,ZZ987941T,33530385,0,A+,9.8,353.1,bachelor,4,24.96,1984,39,30-40,heavy smokers,high,overweight,2-18,Oceania,b'ZZ987941T',4268faebf56e6268889ef2c6fadcaaa17aa36b2b,N83
582,Victoria,Edwards,F,1994-10-08,Malawi,United Kingdom,07700 900057,B9C 7EY,ZZ814380T,120213722,0,O+,8.9,230.4,secondary,22,34.6,1994,29,20-30,heavy smokers,high,overweight,19-34,Africa,b'ZZ814380T',484dfaef726a43ff7ded100ddb22e997978d4b85,B9C
583,Jason,Johnson,M,1964-06-13,Moldova,United Kingdom,+44(0)7700 900 109,TD9 3ZH,ZZ 125191 T,71228989,0,B+,2.7,82.2,bachelor,42,45.07,1964,58,50-60,intermediate smokers,low,overweight,35-50,Europe,b'ZZ 125191 T',c7a43ef85a79b1dc3fd41dd97f54a55d09e4406f,TD9
584,Deborah,Faulkner,F,1966-01-29,Cocos (Keeling) Islands,United Kingdom,(07700) 900859,L0F 4NU,ZZ761128T,23089118,0,O+,9.6,209.7,secondary,16,28.66,1966,56,50-60,heavy smokers,high,overweight,2-18,Asia,b'ZZ761128T',4722a035e96cecb9aa2fb4866b57be65136c3be9,L0F
585,Anna,Chan,F,1979-10-31,Lesotho,United Kingdom,+44(0)7700 900 673,NG0Y 7HN,ZZ875063T,14829662,1,O+,9.5,123.6,other,27,18.99,1979,43,40-50,intermediate smokers,high,healthy,19-34,Africa,b'ZZ875063T',7122bc5d17b4fab97381502ad1812d036824813a,NG0Y
586,Eleanor,Arnold,F,1963-01-15,French Polynesia,United Kingdom,(07700) 900365,TA7 3UG,ZZ417528T,24294258,0,AB+,8.7,421.7,secondary,43,11.66,1963,59,50-60,heavy smokers,high,underweight,35-50,Oceania,b'ZZ417528T',32b9c9f05884306e620c9aae223160f25db1fe6a,TA7
587,Catherine,Price,F,1986-07-26,Saint Vincent and the Grenadines,United Kingdom,(07700) 900145,B9 7PB,ZZ 600011 T,124505805,0,O+,1.1,199.8,secondary,34,13.47,1986,36,30-40,heavy smokers,low,underweight,19-34,North America,b'ZZ 600011 T',d2c5f575a3d93d91d087f2a6d199e3e3d2a4067f,B9
588,Charles,Smith,M,1982-05-17,Uruguay,United Kingdom,07700900588,SS8A 1QT,ZZ 197353 T,76415975,0,O+,9.1,123.9,secondary,38,26.26,1982,40,30-40,intermediate smokers,high,overweight,35-50,South America,b'ZZ 197353 T',9fcfde4c29cdc05ca0cfd1287a0e300b51e588fb,SS8A
589,Christian,Donnelly,M,1993-12-13,Nauru,United Kingdom,+44(0)7700 900390,EX75 4JU,ZZ 45 32 52 T,116531777,0,O+,4.5,358.1,secondary,17,22.73,1993,29,20-30,heavy smokers,moderate,healthy,2-18,Oceania,b'ZZ 45 32 52 T',7b0636d90927b331a7883e17171a719ef6820ebc,EX75
590,Chelsea,Jones,F,2003-08-21,Faroe Islands,United Kingdom,+447700900830,M2 2WF,ZZ 785398 T,12708031,0,O+,3.2,366.5,secondary,38,44.33,2003,19,<20,heavy smokers,low,overweight,35-50,Europe,b'ZZ 785398 T',83be0fc2d8e0ccbe89a9bb91f029d6017d59b339,M2
591,Diana,Fowler,F,2000-10-23,Peru,United Kingdom,+447700 900 815,IP1N 2YB,ZZ968302T,97340951,0,O+,2.4,204.2,bachelor,47,11.78,2000,22,20-30,heavy smokers,low,underweight,35-50,South America,b'ZZ968302T',f1481264c7187d34f4e7e9a421d178f0a4a3e934,IP1N
592,Eleanor,Atkins,F,1997-05-14,Mozambique,United Kingdom,(07700) 900 572,B4 7TX,ZZ 208421 T,77611422,0,A-,4.6,397.3,masters,34,29.94,1997,25,20-30,heavy smokers,moderate,overweight,19-34,Africa,b'ZZ 208421 T',6dbe9bede8e699dfd2c1c9a5749fd93e412b2256,B4
593,Ryan,Briggs,M,1969-08-09,New Zealand,United Kingdom,(07700) 900209,EN2R 3ZD,ZZ805084T,63746673,0,B+,5.1,128.0,secondary,40,13.81,1969,54,50-60,intermediate smokers,moderate,underweight,35-50,Oceania,b'ZZ805084T',9b0277fdbc0c837d82e7ca6611e1239b6622b896,EN2R
594,Jordan,Vincent,M,1997-01-22,Eritrea,United Kingdom,+44(0)7700900097,W35 7JZ,ZZ 00 53 03 T,77010421,0,O-,4.7,25.4,bachelor,24,16.13,1997,25,20-30,light smokers,moderate,underweight,19-34,Africa,b'ZZ 00 53 03 T',a13017560f8dcfa2af3d424123f20d522e58dfe8,W35
595,Gary,Hargreaves,M,2002-07-06,Somalia,United Kingdom,+44(0)7700 900 115,SS9N 1XH,ZZ 362040 T,81698062,0,O+,4.9,52.4,secondary,22,23.64,2002,21,20-30,intermediate smokers,moderate,healthy,19-34,Africa,b'ZZ 362040 T',923889e75e3ae036f3c1988b30f6c475b10023a4,SS9N
596,Brandon,Clayton,M,1978-02-11,Armenia,United Kingdom,(07700)900181,N75 2HN,ZZ 858415 T,17841414,0,B-,3.3,332.3,bachelor,47,18.37,1978,45,40-50,heavy smokers,low,underweight,35-50,Asia,b'ZZ 858415 T',6666659a5a935aa4fdb9ce199d1d8f156dd1f459,N75
597,Paula,Walker,F,1956-09-19,Trinidad and Tobago,United Kingdom,07700 900620,SK5R 8LG,ZZ 902515 T,48421528,0,O+,2.7,89.0,secondary,17,20.43,1956,66,60-70,intermediate smokers,low,healthy,2-18,North America,b'ZZ 902515 T',9782f4f8e49200e015ebaad23e09cd74cdc07b2c,SK5R
598,Iain,Burrows,M,1989-06-10,Nauru,United Kingdom,+44(0)7700 900 247,WA9 6GS,ZZ 631189 T,30643576,0,O+,2.1,82.4,bachelor,49,38.78,1989,34,30-40,intermediate smokers,low,overweight,35-50,Oceania,b'ZZ 631189 T',42ff3973fc7334046781bb0a4f4e938edabe3069,WA9
599,Graham,Brown,M,1978-09-29,Croatia,United Kingdom,07700 900 868,B0K 3BW,ZZ740179T,12188745,0,O+,3.8,64.7,primary,21,13.34,1978,44,40-50,intermediate smokers,low,underweight,19-34,Europe,b'ZZ740179T',829cd80a553ad64fc9a3506e7f4b56432427659c,B0K
600,Nicola,Moss,F,1979-10-01,Guernsey,United Kingdom,+447700 900 467,W39 8SR,ZZ 11 00 83 T,108419399,1,A+,0.9,225.1,bachelor,32,26.08,1979,44,40-50,heavy smokers,low,overweight,19-34,Europe,b'ZZ 11 00 83 T',96a199d0f2b055c594f0c40a01b5f538dbc04cb2,W39
601,Nicholas,Leach,M,2001-03-07,Seychelles,United Kingdom,(07700) 900311,TQ80 7LZ,ZZ569952T,108520592,0,O-,2.6,426.0,secondary,15,27.09,2001,22,20-30,heavy smokers,low,overweight,2-18,Africa,b'ZZ569952T',28668fbf818b90baad7ed9bac21a05d3c8a1c5b3,TQ80
602,Frank,Hayward,M,1962-08-05,Dominican Republic,United Kingdom,07700900635,NE2X 2WP,ZZ 48 66 98 T,124727573,0,A-,0.1,351.0,other,39,31.05,1962,61,60-70,heavy smokers,low,overweight,35-50,North America,b'ZZ 48 66 98 T',5f8f66baa46a0f80f88bfd3d5da164686a5ffedf,NE2X
603,Jamie,Cross,M,1994-09-06,Christmas Island,United Kingdom,07700 900805,M89 4BR,ZZ 26 57 16 T,42496795,0,A+,7.9,393.0,bachelor,2,23.24,1994,29,20-30,heavy smokers,high,healthy,2-18,Asia,b'ZZ 26 57 16 T',4a26f9b0b68c61156eb9038f14356a31572d069d,M89
604,Brenda,Price,F,1967-10-31,Guadeloupe,United Kingdom,+447700 900 750,W5J 4DD,ZZ 95 14 52 T,72074365,0,O+,6.7,195.5,phD,19,11.65,1967,55,50-60,heavy smokers,moderate,underweight,19-34,North America,b'ZZ 95 14 52 T',d9e8d8ff448c69ccde2faabddcd71aa6d83a04ca,W5J
605,Cheryl,Barrett,F,1966-12-13,Mauritius,United Kingdom,(07700) 900273,CA5H 7RB,ZZ 013027 T,98860126,0,O+,9.0,412.7,secondary,42,38.61,1966,56,50-60,heavy smokers,high,overweight,35-50,Africa,b'ZZ 013027 T',fa1ae18d498f220b73fff65640909b4374dfed79,CA5H
606,Victor,Young,M,2003-02-03,Vietnam,United Kingdom,(07700) 900 245,E92 0JL,ZZ 346244 T,54309870,0,A-,8.6,222.9,secondary,24,45.28,2003,20,<20,heavy smokers,high,overweight,19-34,Asia,b'ZZ 346244 T',a0a52da1c0a9d7983452a6af7bf2b97b55762dca,E92
607,Carol,Howe,F,1957-11-13,Turkmenistan,United Kingdom,+44(0)7700 900 581,BD98 3NG,ZZ203336T,35801397,0,A+,0.9,149.7,secondary,10,24.44,1957,65,60-70,intermediate smokers,low,healthy,2-18,Asia,b'ZZ203336T',3abc3cb67104ba92004405feb7b7c8dab0db2c05,BD98
608,Gregory,Thomas,M,1977-05-20,Mexico,United Kingdom,+447700 900 409,LL11 0YB,ZZ347312T,26767194,0,O+,0.0,72.8,bachelor,36,26.31,1977,45,40-50,intermediate smokers,low,overweight,35-50,North America,b'ZZ347312T',bcc4f3c88127fecb560d4868783c1dd6a462ca57,LL11
609,Lynne,Harris,F,1959-08-17,Comoros,United Kingdom,+44(0)7700 900349,N7E 1SN,ZZ 40 83 59 T,16735440,0,O+,8.5,225.8,secondary,4,26.47,1959,63,60-70,heavy smokers,high,overweight,2-18,Africa,b'ZZ 40 83 59 T',c4f69214dab3d69313885f608cf31ac85303bcd4,N7E
610,Claire,Hunt,F,2003-03-02,Slovenia,United Kingdom,(07700)900076,E1 8AB,ZZ543075T,15901615,0,O-,8.8,89.5,masters,26,21.97,2003,20,<20,intermediate smokers,high,healthy,19-34,Europe,b'ZZ543075T',e02d7bd142eb326dfe03df986f4716024e01343d,E1
611,Terry,Carr,M,1968-07-05,Mongolia,United Kingdom,+44(0)7700 900 277,E79 4SX,ZZ 758757 T,90585713,0,A+,6.1,339.1,secondary,38,21.18,1968,55,50-60,heavy smokers,moderate,healthy,35-50,Asia,b'ZZ 758757 T',620b302cc99c3f3178ccdffe59584a0755708dfc,E79
612,Vincent,Robinson,M,1966-03-11,New Caledonia,United Kingdom,+447700 900 813,S8E 9PE,ZZ 371843 T,52190052,0,A+,0.8,440.4,secondary,29,12.11,1966,57,50-60,heavy smokers,low,underweight,19-34,Oceania,b'ZZ 371843 T',54718616d96ed2da32b657d958e5cee50059b3bd,S8E
613,Ian,Bishop,M,1972-05-12,British Virgin Islands,United Kingdom,+44(0)7700 900563,S0A 5AR,ZZ 062303 T,21055940,0,A+,0.5,428.6,other,45,22.89,1972,51,50-60,heavy smokers,low,healthy,35-50,North America,b'ZZ 062303 T',e2ee7d627e2e9239add77e3f51343cea97e58370,S0A
614,Samuel,McCarthy,M,1957-05-14,Palau,United Kingdom,+44(0)7700900365,TD4 9HR,ZZ 99 98 47 T,27539538,0,O+,5.4,337.5,bachelor,30,21.02,1957,65,60-70,heavy smokers,moderate,healthy,19-34,Oceania,b'ZZ 99 98 47 T',ac7112eea821d27e29a3780beda91f816eeff0b1,TD4
615,James,Smith,M,1957-09-07,Suriname,United Kingdom,07700900598,G72 8JQ,ZZ 91 59 95 T,38435634,0,O+,5.8,458.6,bachelor,17,21.43,1957,66,60-70,heavy smokers,moderate,healthy,2-18,South America,b'ZZ 91 59 95 T',a6e02f98de01bc300d99cd7141f94ac751927d21,G72
616,Samuel,Hewitt,M,1984-08-05,Turkey,United Kingdom,+44(0)7700900502,S2A 0JT,ZZ 09 85 50 T,99284073,0,A+,9.0,289.0,bachelor,41,23.21,1984,39,30-40,heavy smokers,high,healthy,35-50,Asia,b'ZZ 09 85 50 T',f938b3dbbd925d3c1936c47682e9c067ce18b20b,S2A
617,Georgia,Smith,F,2000-07-02,Guinea,United Kingdom,+44(0)7700900087,N4 2AZ,ZZ 44 22 69 T,81692576,0,O+,4.0,233.7,bachelor,5,16.08,2000,23,20-30,heavy smokers,moderate,underweight,2-18,Africa,b'ZZ 44 22 69 T',bac4233f11e91be754062df83c06e411a312fccd,N4
618,Ricky,Read,M,1977-06-20,Hungary,United Kingdom,+44(0)7700900830,GL57 8NX,ZZ 478584 T,55350776,0,A+,9.9,233.6,masters,19,19.86,1977,45,40-50,heavy smokers,high,healthy,19-34,Europe,b'ZZ 478584 T',8d7a25f133c9d5bd26dbdead1547f35075b6986c,GL57
619,Bruce,Turner,M,1990-02-14,South Africa,United Kingdom,(07700) 900 258,MK97 3AB,ZZ 76 61 12 T,64121909,1,A+,2.6,479.5,masters,35,39.63,1990,32,30-40,heavy smokers,low,overweight,35-50,Africa,b'ZZ 76 61 12 T',0bb54a5a379a16fb3383ef1252de9a912daa47a8,MK97
620,Roy,Pickering,M,1993-05-10,Cook Islands,United Kingdom,07700 900058,E0 1ZE,ZZ 763378 T,60824006,0,O+,0.1,31.6,other,14,21.08,1993,30,20-30,light smokers,low,healthy,2-18,Oceania,b'ZZ 763378 T',82e75cd8a7eedc48a64f3e5d95742a401310e745,E0
621,Julie,Jones,F,1995-01-21,South Georgia and the South Sandwich Islands,United Kingdom,(07700)900784,M7 3TU,ZZ 18 20 11 T,109838254,0,A+,7.0,190.4,secondary,47,11.97,1995,27,20-30,heavy smokers,high,underweight,35-50,South America,b'ZZ 18 20 11 T',1d58454b8c213f8868f6df3c501f059b63842cd7,M7
622,John,Anderson,M,2003-06-18,Dominica,United Kingdom,07700 900562,N6H 5AA,ZZ 001831 T,32287668,0,O+,8.0,446.6,secondary,33,20.58,2003,19,<20,heavy smokers,high,healthy,19-34,North America,b'ZZ 001831 T',96f2b524c8ed213b4271d90dd2fd8eac334c1c70,N6H
623,Anne,Martin,F,1961-09-07,Slovakia,United Kingdom,07700 900812,S8 5BW,ZZ 738887 T,62309066,0,O+,1.7,477.3,phD,16,22.54,1961,62,60-70,heavy smokers,low,healthy,2-18,Europe,b'ZZ 738887 T',241c91b0c35970cfdcd0832411ca46466a483cea,S8
624,Frederick,Adams,M,1987-06-11,Gibraltar,United Kingdom,(07700) 900 921,BT7N 6JJ,ZZ609609T,29266278,0,O+,0.1,17.7,masters,41,44.97,1987,36,30-40,light smokers,low,overweight,35-50,Europe,b'ZZ609609T',89b769e07ae86fc620dfb54f536654f8cd262352,BT7N
625,Kenneth,Watson,M,2001-10-02,Mozambique,United Kingdom,07700 900269,CM1 7WE,ZZ 62 23 67 T,129329963,0,A+,7.8,100.4,secondary,37,23.49,2001,22,20-30,intermediate smokers,high,healthy,35-50,Africa,b'ZZ 62 23 67 T',027081b75efb8c4855c230042bf6977199f4a6bd,CM1
626,Donna,Davies,F,1998-12-19,Brunei Darussalam,United Kingdom,+447700 900938,L18 0RU,ZZ324618T,114671105,0,A+,2.2,40.9,secondary,43,38.39,1998,24,20-30,intermediate smokers,low,overweight,35-50,Asia,b'ZZ324618T',8c77982e48b0849bdc3e4c663c5a551e4488ac4a,L18
